date,year,artist,lineup,venue,city,country,attendance,url
1995-10-22,1995,Phish,Phish,Assembly Hall,Champaign,United States,1,https://www.last.fm/event/1467320+Phish
1995-10-24,1995,Phish,Phish,Dane County Coliseum,"Madison, WI",United States,1,https://www.last.fm/event/1467322+Phish
1997-08-08,1997,Phish,,Hollywood Casino Amphitheatre,Tinley Park,United States,2,https://www.last.fm/event/1472047+Phish+at+Hollywood+Casino+Amphitheatre+on+08+August+1997
1997-08-09,1997,Phish,,Alpine Valley Music Theatre,"East Troy, WI",United States,3,https://www.last.fm/event/235355+Phish+at+Alpine+Valley+Music+Theatre+on+09+August+1997
1997-08-16,1997,The Allman Brothers Band,,Hollywood Casino Amphitheatre,Tinley Park,United States,1,https://www.last.fm/event/1472044+The+Allman+Brothers+Band+at+Hollywood+Casino+Amphitheatre+on+16+August+1997
1997-11-16,1997,Phish,,McNichols Sports Arena,"Denver, CO",United States,3,https://www.last.fm/event/1468879+Phish+at+McNichols+Sports+Arena+on+16+November+1997
1997-11-17,1997,Phish,,McNichols Arena,"Denver, Colorado",United States,2,https://www.last.fm/event/1468881+Phish+at+McNichols+Arena+on+17+November+1997
1999-04-08,1999,Béla Fleck and the Flecktones,,University Theatre,Missoula,United States,2,https://www.last.fm/event/1472041+B%C3%A9la+Fleck+and+the+Flecktones+at+University+Theatre+on+08+April+1999
2000-04-01,2000,Bob Dylan,Asleep At The Wheel,Sioux Falls Arena,Sioux Falls,United States,1,https://www.last.fm/event/1472062+Bob+Dylan+at+Sioux+Falls+Arena+on+01+April+2000
2000-08-25,2000,Madison Blues Festival,"The Allman Brothers Band, B.B. King, Bobby Rush, Buddy Guy",Olin Park,"Madison, WI",United States,1,https://www.last.fm/event/1468883+Madison+Blues+Festival
2000-09-24,2000,Phish,,Target Center,Minneapolis,United States,3,https://www.last.fm/event/1468882+Phish+at+Target+Center+on+24+September+2000
2000-11-01,2000,Buddy Guy,,Fine Line Music Cafe,Minneapolis,United States,1,https://www.last.fm/event/1472043+Buddy+Guy+at+Fine+Line+Music+Cafe+on+01+November+2000
2001-05-19,2001,The Black Crowes,"Oasis, Spacehog",Xcel Energy Center,Saint Paul,United States,2,https://www.last.fm/event/1471093+The+Black+Crowes+at+Xcel+Energy+Center+on+19+May+2001
2001-06-14,2001,"Medeski, Martin and Wood",,Walker Art Center,,United States,1,"https://www.last.fm/event/1471091+Medeski,+Martin+and+Wood+at+Walker+Art+Center+on+14+June+2001"
2001-08-16,2001,Lloyd's Blues Music Festival,"Buddy Guy, B.B. King",Grand Casino Hinckley Amphitheater,"Hinckley, MN",United States,1,https://www.last.fm/event/1471085+Lloyd%27s+Blues+Music+Festival
2001-10-07,2001,The Black Crowes,,Orpheum Theatre,Minneapolis,United States,1,https://www.last.fm/event/1471087+The+Black+Crowes+at+Orpheum+Theatre+on+07+October+2001
2001-10-18,2001,"Medeski, Martin and Wood",,The O'Shaughnessy,St. Paul,United States,1,"https://www.last.fm/event/1471075+Medeski,+Martin+and+Wood+at+The+O%27Shaughnessy+on+18+October+2001"
2001-10-26,2001,The Beta Band,,Fine Line Music Cafe,Minneapolis,United States,1,https://www.last.fm/event/1471066+The+Beta+Band+at+Fine+Line+Music+Cafe+on+26+October+2001
2001-10-31,2001,Bob Dylan,,Kohl Center,Madison,United States,1,https://www.last.fm/event/1470368+Bob+Dylan+at+Kohl+Center+on+31+October+2001
2001-12-01,2001,Karl Denson's Tiny Universe,,Fine Line Music Cafe,Minneapolis,United States,1,https://www.last.fm/event/1470366+Karl+Denson%27s+Tiny+Universe+at+Fine+Line+Music+Cafe+on+01+December+2001
2002-04-20,2002,The Beta Band,,The Quest,Minneapois,United States,1,https://www.last.fm/event/1470365+The+Beta+Band+at+The+Quest+on+20+April+2002
2002-07-30,2002,Wilco,,Orpheum Theatre,Minneapolis,United States,1,https://www.last.fm/event/1470364+Wilco+at+Orpheum+Theatre+on+30+July+2002
2002-09-18,2002,Karl Denson's Tiny Universe,John Scofield,First Avenue,Minneapolis,United States,1,https://www.last.fm/event/1470362+Karl+Denson%27s+Tiny+Universe+at+First+Avenue+on+18+September+2002
2002-10-17,2002,Beck,The Flaming Lips,Orpheum Theatre,Minneapolis,United States,2,https://www.last.fm/event/1470361+Beck+at+Orpheum+Theatre+on+17+October+2002
2002-10-30,2002,Bob Dylan and His Band,Bob Dylan,RiverCentre,"St. Paul, MN",United States,3,https://www.last.fm/event/534573+Bob+Dylan+and+His+Band
2002-11-10,2002,Wilco,,IMU Main Lounge,"Iowa City, IA",United States,3,https://www.last.fm/event/476659+Wilco+at+IMU+Main+Lounge+on+10+November+2002
2003-06-26,2003,Wilco,Sonic Youth,Central Park,New York,United States,1,https://www.last.fm/event/1470357+Wilco+at+Central+Park+on+26+June+2003
2003-06-27,2003,Wilco,Sonic Youth,Central Park,New York,United States,2,https://www.last.fm/event/1470358+Wilco+at+Central+Park+on+27+June+2003
2003-09-24,2003,Ween,,The Wiltern,Los Angeles,United States,1,https://www.last.fm/event/1467451+Ween+at+The+Wiltern+on+24+September+2003
2003-09-25,2003,Radiohead,Supergrass,Hollywood Bowl,Los Angeles,United States,12,https://www.last.fm/event/80526+Radiohead+at+Hollywood+Bowl+on+25+September+2003
2004-01-27,2004,French Kicks,Dios Malos,Troubadour,West Hollywood,United States,1,https://www.last.fm/event/1470353+French+Kicks+at+Troubadour+on+27+January+2004
2004-02-02,2004,The Walkmen,Weird War,The Music Box,Hollywood,United States,1,https://www.last.fm/event/1467433+The+Walkmen+at+The+Music+Box+on+02+February+2004
2004-03-24,2004,Modest Mouse,,The Music Box,Hollywood,United States,1,https://www.last.fm/event/1467434+Modest+Mouse+at+The+Music+Box+on+24+March+2004
2004-04-11,2004,Iron & Wine,Holopaw,Knitting Factory,"Los Angeles, CA",United States,1,https://www.last.fm/event/1467435+Iron+&+Wine+at+Knitting+Factory+on+11+April+2004
2004-10-27,2004,Interpol,Secret Machines,The Wiltern,Los Angeles,United States,8,https://www.last.fm/event/372532+Interpol+at+The+Wiltern+on+27+October+2004
2005-03-24,2005,The Decemberists,Okkervil River,The Music Box,Hollywood,United States,6,https://www.last.fm/event/66633+The+Decemberists+at+The+Music+Box+on+24+March+2005
2005-04-29,2005,Magnolia Electric Co.,,The Echo,Los Angeles,United States,1,https://www.last.fm/event/1467437+Magnolia+Electric+Co.+at+The+Echo+on+29+April+2005
2005-06-03,2005,Q101 Block Party,"Queens of the Stone Age, 30 Seconds to Mars, Hot Hot Heat, Interpol",New City YMCA,Chicago,United States,7,https://www.last.fm/event/195624+Q101+Block+Party
2005-06-11,2005,The National,"Menomena, Talkdemonic",Spaceland,Los Angeles,United States,2,https://www.last.fm/event/1467344+The+National+at+Spaceland+on+11+June+2005
2005-06-26,2005,David Byrne,"Arcade Fire, Band Of The Lost",Hollywood Bowl,Los Angeles,United States,4,https://www.last.fm/event/183237+David+Byrne+at+Hollywood+Bowl+on+26+June+2005
2005-07-16,2005,Sufjan Stevens,,El Rey Theatre,Los Angeles,United States,1,https://www.last.fm/event/1467439+Sufjan+Stevens+at+El+Rey+Theatre+on+16+July+2005
2005-10-15,2005,Son Volt,,Vic Theatre,Chicago,United States,1,https://www.last.fm/event/1467440+Son+Volt+at+Vic+Theatre+on+15+October+2005
2005-11-10,2005,John Cale,Chris Connelly,Double Door,Chicago,United States,1,https://www.last.fm/event/1467442+John+Cale+at+Double+Door+on+10+November+2005
2005-12-11,2005,Iron & Wine and Calexico,,Congress Theater,Chicago,United States,1,https://www.last.fm/event/1467443+Iron+&+Wine+and+Calexico+at+Congress+Theater+on+11+December+2005
2006-01-14,2006,Tapes 'n Tapes,"Chin Up Chin Up, Lake Holiday, Pit Er Pat",Schubas Tavern,Chicago,United States,2,https://www.last.fm/event/640484+Tapes+%27n+Tapes+at+Schubas+Tavern+on+14+January+2006
